FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Confidence in Policing,Type Of Tenure,Household Type,Gender,Limiting Long-term Physical or Mental Health Condition,Policing Role
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,22.72,Not very or not at all confident,All,All,Female,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,20.45,Not very or not at all confident,All,Adults,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,34.98,Not very or not at all confident,All,All,Male,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,21.25,Not very or not at all confident,All,Adults,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.93,Very or fairly confident,All,Adults,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,72.03,Very or fairly confident,All,Adults,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,65.85,Very or fairly confident,All,All,Male,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,26.24,Not very or not at all confident,All,All,Female,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,71.72,Very or fairly confident,All,Adults,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,35.96,Not very or not at all confident,All,All,Female,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,28.46,Not very or not at all confident,All,All,Female,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,14.7,Not very or not at all confident,All,Adults,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,17.97,Not very or not at all confident,All,Adults,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.53,Very or fairly confident,All,Adults,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,63.15,Very or fairly confident,All,Pensioners,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,57.72,Very or fairly confident,All,Pensioners,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,20.92,Not very or not at all confident,All,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,68.58,Very or fairly confident,All,Pensioners,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,66.93,Very or fairly confident,All,All,Male,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,23.55,Not very or not at all confident,All,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.3,Not very or not at all confident,All,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,61.75,Very or fairly confident,All,All,Male,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,67.91,Very or fairly confident,All,Adults,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,68.13,Very or fairly confident,All,Adults,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,69.96,Very or fairly confident,All,All,Male,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.34,Not very or not at all confident,All,All,Male,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,27.3,Not very or not at all confident,All,Pensioners,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,22.89,Not very or not at all confident,All,All,Male,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,25.95,Not very or not at all confident,All,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,33.89,Not very or not at all confident,Owned Outright,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,69.63,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,70.37,Very or fairly confident,All,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,23.42,Not very or not at all confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,66.39,Very or fairly confident,All,All,Female,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,20.74,Not very or not at all confident,All,With Children,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,65.8,Very or fairly confident,All,Pensioners,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,22.9,Not very or not at all confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,60.56,Very or fairly confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,63.53,Very or fairly confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,63.19,Very or fairly confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,66.49,Very or fairly confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.07,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,24.47,Not very or not at all confident,Owned Outright,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,29.18,Not very or not at all confident,Owned Outright,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,64.87,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.62,Not very or not at all confident,All,All,Female,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,71.57,Very or fairly confident,All,Adults,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,20.06,Not very or not at all confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.95,Very or fairly confident,All,Adults,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,67.19,Very or fairly confident,All,Adults,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,74.74,Very or fairly confident,All,All,Female,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,55.4,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,19.09,Not very or not at all confident,All,All,Female,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,22.56,Not very or not at all confident,All,All,Female,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.79,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,11.98,Not very or not at all confident,All,With Children,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,70.56,Very or fairly confident,All,All,Female,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,74.4,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,35.82,Not very or not at all confident,Owned Outright,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,18.64,Not very or not at all confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,23.43,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,16.36,Not very or not at all confident,All,With Children,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,69.88,Very or fairly confident,All,Adults,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,21.3,Not very or not at all confident,All,Adults,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.71,Not very or not at all confident,All,Pensioners,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,62.55,Very or fairly confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.2,Not very or not at all confident,All,Pensioners,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,56.15,Very or fairly confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,74.89,Very or fairly confident,All,With Children,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,22.95,Not very or not at all confident,All,Pensioners,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,18,Not very or not at all confident,All,Adults,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,50.01,Very or fairly confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,62.29,Very or fairly confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,58.3,Very or fairly confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,36.51,Not very or not at all confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,28.59,Not very or not at all confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,32.55,Not very or not at all confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,30.87,Not very or not at all confident,All,Pensioners,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,66.24,Very or fairly confident,All,Pensioners,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,15.31,Not very or not at all confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.55,Not very or not at all confident,All,All,Female,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,11.98,Not very or not at all confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,67.51,Very or fairly confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.47,Not very or not at all confident,All,All,Female,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,69.19,Very or fairly confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,71.84,Very or fairly confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,22.61,Not very or not at all confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,25.15,Not very or not at all confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,23.01,Not very or not at all confident,All,All,Female,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,74.81,Very or fairly confident,All,All,Female,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,14.7,Not very or not at all confident,All,Adults,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,77.5,Very or fairly confident,All,Adults,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.76,Not very or not at all confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.03,Not very or not at all confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,60.69,Very or fairly confident,All,Pensioners,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,70.92,Very or fairly confident,All,Pensioners,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.99,Not very or not at all confident,All,All,All,Limiting condition,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,56.22,Very or fairly confident,All,All,All,Limiting condition,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,59.55,Very or fairly confident,All,Pensioners,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,74.83,Very or fairly confident,All,All,All,Limiting condition,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,69.35,Very or fairly confident,All,All,All,Limiting condition,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,69.44,Very or fairly confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,25.44,Not very or not at all confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,62.79,Very or fairly confident,All,All,All,Limiting condition,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,61.83,Very or fairly confident,All,Pensioners,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.41,Very or fairly confident,All,All,All,No limiting condition,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,17.05,Not very or not at all confident,All,All,All,No limiting condition,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,14.63,Not very or not at all confident,All,All,All,No limiting condition,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,65.21,Very or fairly confident,All,Pensioners,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,14.45,Not very or not at all confident,All,All,All,No limiting condition,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,62.37,Very or fairly confident,All,All,All,Limiting condition,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.35,Not very or not at all confident,All,All,All,Limiting condition,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,21.67,Not very or not at all confident,All,All,All,Limiting condition,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,57.49,Very or fairly confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,28.64,Not very or not at all confident,All,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.17,Not very or not at all confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,23.26,Not very or not at all confident,All,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,57.74,Very or fairly confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,67.45,Very or fairly confident,All,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,68.27,Very or fairly confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,68.08,Very or fairly confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,63.47,Very or fairly confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,64.67,Very or fairly confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.86,Not very or not at all confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.39,Not very or not at all confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,55.5,Very or fairly confident,Owned Outright,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,62.91,Very or fairly confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,64.54,Very or fairly confident,All,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,65.74,Very or fairly confident,Owned Outright,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,24.12,Not very or not at all confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.7,Not very or not at all confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,62.68,Very or fairly confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.15,Not very or not at all confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,45.28,Very or fairly confident,Owned Outright,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,65.95,Very or fairly confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,59.41,Very or fairly confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,73.73,Very or fairly confident,All,All,All,No limiting condition,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,12.05,Not very or not at all confident,All,All,All,No limiting condition,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,76.78,Very or fairly confident,All,All,All,No limiting condition,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,60.34,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,65.28,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,50.68,Very or fairly confident,Owned Outright,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,25.5,Not very or not at all confident,Owned Outright,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,56.08,Very or fairly confident,Owned Outright,All,All,All,Catch criminals
